X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
ARISA_667.6	ARISA_682.4	-0.192996	-0.192996	-0.192996	3	4	105	-1	0.362252	-0.182745	0.046673	-0.248571	0.006644	-1	-0.238561	0.008981	-0.290278	0.001430	-1	0.685341	0.015732	0.000422	0.012726	0.000125	12	16
ARISA_667.6	ARISA_686.9	-0.079810	-0.079810	-0.079810	12	12	51	0	0.999995	-0.018582	0.841024	0.047458	0.609827	-1	0.006221	0.946461	0.068908	0.458425	-1	1.000000	0.123077	0.011841	0.415520	0.007718	12	17
ARISA_667.6	ARISA_689.8	0.127320	0.127320	0.127320	18	18	102	0	0.942930	0.130425	0.157423	0.130425	0.157423	0	0.125378	0.174259	0.125378	0.174259	0	1.000000	0.040713	0.004254	0.120641	0.003608	12	18
ARISA_667.6	ARISA_729.4	0.141087	0.141087	0.141087	26	25	70	1	0.857540	-0.045870	0.620344	-0.145717	0.115382	-1	-0.058439	0.527843	-0.159381	0.084721	-1	1.000000	0.100596	0.003369	0.276197	0.002156	12	19
ARISA_667.6	ARISA_828.8	0.188770	0.188770	0.188770	1	2	61	-1	0.401543	0.105707	0.252554	0.105707	0.252554	0	0.115976	0.209101	0.137295	0.138193	1	0.746231	0.055995	0.005934	0.135737	0.003051	12	20
ARISA_667.6	ARISA_831.8	0.225754	0.225754	0.225754	12	12	69	0	0.157612	0.126251	0.171257	0.126251	0.171257	0	0.120646	0.191218	0.140987	0.127801	1	0.348405	0.043566	0.004507	0.127597	0.002900	12	21
ARISA_670.5	ARISA_676.9	0.124893	0.124893	0.124893	1	2	73	-1	0.954743	0.125382	0.174245	0.176873	0.055363	1	0.154316	0.093802	0.192632	0.036631	-1	1.000000	0.043927	0.001913	0.080063	0.001100	13	14
ARISA_670.5	ARISA_679.4	-0.094224	-0.094224	-0.094224	72	71	44	1	0.999493	0.015865	0.864029	-0.096942	0.296340	1	-0.040107	0.664966	-0.074673	0.421602	1	1.000000	0.125829	0.006442	0.325255	0.007282	13	15
ARISA_670.5	ARISA_682.4	0.134702	0.134702	0.134702	8	8	85	0	0.902736	0.259091	0.004437	0.259091	0.004437	0	0.148596	0.106778	0.148596	0.106778	0	1.000000	0.002656	0.000314	0.086576	0.002542	13	16
ARISA_670.5	ARISA_686.9	0.078542	0.078542	0.078542	35	35	85	0	0.999997	0.138017	0.134426	0.138017	0.134426	0	0.074026	0.423652	-0.124570	0.178943	-1	1.000000	0.036662	0.003788	0.232492	0.003682	13	17
ARISA_670.5	ARISA_689.8	0.246336	0.246336	0.246336	6	6	114	0	0.083313	0.424747	0.000001	0.424747	0.000001	0	0.403029	0.000006	0.403029	0.000006	0	0.230208	0.000004	0.000000	0.000028	0.000001	13	18
ARISA_670.5	ARISA_729.4	0.084309	0.084309	0.084309	2	1	114	1	0.999973	0.067578	0.465240	0.122294	0.187079	1	0.020042	0.828716	0.089290	0.336283	-1	1.000000	0.083914	0.004828	0.384456	0.006027	13	19
ARISA_670.5	ARISA_828.8	-0.080916	-0.080916	-0.080916	15	15	26	0	0.999993	0.050385	0.586317	0.050385	0.586317	0	0.103412	0.263062	0.103412	0.263062	0	1.000000	0.097719	0.011496	0.162681	0.005011	13	20
ARISA_670.5	ARISA_831.8	-0.099119	-0.099119	-0.099119	6	6	100	0	0.998613	-0.107377	0.245094	-0.107377	0.245094	0	-0.121960	0.186396	-0.121960	0.186396	0	1.000000	0.055703	0.005871	0.127597	0.003789	13	21
ARISA_676.9	ARISA_679.4	0.367603	0.367603	0.367603	1	1	119	0	0.000728	0.352401	0.000085	0.352401	0.000085	0	0.364338	0.000046	0.364338	0.000046	0	0.005099	0.000111	0.000015	0.000160	0.000006	14	15
ARISA_676.9	ARISA_682.4	0.197592	0.197592	0.197592	41	41	79	0	0.325395	0.209761	0.022045	0.209761	0.022045	0	0.275028	0.002469	0.275028	0.002469	0	0.626908	0.009726	0.000991	0.005336	0.000175	14	16
ARISA_676.9	ARISA_686.9	-0.244177	-0.244177	-0.244177	1	1	112	0	0.090866	-0.343694	0.000130	-0.343694	0.000130	0	-0.351609	0.000088	-0.351609	0.000088	0	0.241543	0.000150	0.000020	0.000274	0.000010	14	17
ARISA_676.9	ARISA_689.8	0.158744	0.158744	0.158744	18	18	29	0	0.699509	0.031791	0.731430	0.078281	0.399458	-1	-0.129808	0.159412	-0.129808	0.159412	0	1.000000	0.112611	0.008236	0.112087	0.003394	14	18
ARISA_676.9	ARISA_729.4	0.465547	0.465547	0.465547	1	1	112	0	0.000005	0.451142	0.000000	0.451142	0.000000	0	0.519253	0.000000	0.519253	0.000000	0	0.000095	0.000002	0.000000	0.000000	0.000000	14	19
