VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc,Weight.glasso
Bacteroidetes,WPS-2,0.3728651450896752,1.3423328792814434e-9,2.4277599443463424e-9,0.14828283784507623,0.01947595965544459,0.03286568191856274,0.27209554597765206,0,0,0
Proteobacteria,WPS-2,0.43099877523521185,1.2210750236591786e-12,2.6526802238113193e-12,0.17081477785085783,0.007012540463830974,0.012743943727538981,0.12866929069159008,0.040000000000000036,0.060480000000000055,0
Verrucomicrobia,WPS-2,0.3853249703822856,3.349189210357018e-10,6.298475231417676e-10,0.14025854455588277,0.027205017990715823,0.04357413898512958,-0.12029447421614797,0.1,0.14210526315789487,0
Unassigned.1,WPS-2,0.48506345344989604,4.842373488638078e-16,1.262356674969099e-15,0.17360925591324589,0.006124609536764828,0.011312707619872764,0.06583728764365276,0.24,0.31831578947368416,0
Chlamydiae,WPS-2,0.3331478775746483,7.691506257988204e-8,1.2215921703863616e-7,0.06511826629986894,0.3070710456697381,0.37808747642723456,0.1317994064790752,0,0,0
WPS-2,ZB3,0.3543987618589756,9.452326584441736e-9,1.5879908661862116e-8,0.12424306848443749,0.05066863770837703,0.07661098021506607,0.0020878383515736476,0.72,0.8124179104477612,0
TM7,WPS-2,0.4034455456307552,3.996469609483987e-11,7.8272824475904e-11,0.14985005609607668,0.018212613804034637,0.031010666747410327,0.17962389232364728,0,0,0
WPS-2,WPS-2,1,-0,-0,1,-0,-0,1,1,1,0
Lentisphaerae,SBR1093,-0.1887853378694066,0.0028370745306277134,0.0034262433628666953,-0.003686536085870931,0.9539377896087008,0.9632899832415477,-0.20082349639552216,0,0,0
Cyanobacteria,Lentisphaerae,0.07019531695314596,0.27080476422055466,0.28844963575506627,0.04233457494235394,0.5069367473345422,0.5771749713628221,0.2590392716612534,0,0,0
Firmicutes,Lentisphaerae,0.18196222280933008,0.004038892082434874,0.004816092136152625,0.1500639134000384,0.018045875215950104,0.030865795618231398,0.06312558889820798,0.19999999999999996,0.27,0
Euryarchaeota,Lentisphaerae,0.42667810939050826,2.155283718202329e-12,4.6289616220481844e-12,0.2782480787605854,8.672709431697032e-6,2.23012528243638e-5,-0.08522683513125134,0.42,0.5088461538461538,0
Actinobacteria,Lentisphaerae,0.17374537739666032,0.006084049666017722,0.007186783667983434,0.048794711521345104,0.44427535384637784,0.5135660053637028,-0.47209562383951975,0,0,0
